,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked,2urvived
0,0,0,0,1,0,1,1,0
1,1,1,1,1,0,0,0,1
2,0,0,1,0,0,1,1,1
3,1,1,1,1,0,0,1,1
4,1,0,0,0,0,1,1,0
5,0,0,0,0,0,1,0,0
6,1,1,0,0,0,0,1,0
7,0,0,0,1,1,1,1,0
8,0,0,1,0,1,1,1,1
9,0,0,1,1,0,0,0,1
10,0,0,1,1,1,1,1,1
11,1,0,1,0,0,0,1,1
12,0,0,0,0,0,1,1,0
13,1,0,0,1,1,1,1,0
14,0,0,1,0,0,1,1,0
15,1,0,1,0,0,0,1,1
16,0,0,0,1,1,1,0,0
17,0,0,0,0,0,0,1,1
18,1,0,1,1,0,1,1,0
19,0,0,1,0,0,1,0,1
20,1,0,0,0,0,0,1,0
21,1,0,0,0,0,0,1,1
22,0,0,1,0,0,1,0,1
23,0,1,0,0,0,0,1,1
24,0,0,1,1,1,1,1,0
25,1,0,1,1,1,1,1,1
26,0,0,0,0,0,1,0,0
27,0,1,0,1,1,0,1,0
28,0,0,1,0,0,1,0,1
29,0,0,0,0,0,1,1,0
30,1,0,0,0,0,0,0,0
31,0,1,1,1,0,0,0,1
32,0,0,1,0,0,1,0,1
33,1,0,0,0,0,0,1,0
34,0,1,0,1,0,0,0,0
35,1,1,0,1,0,0,1,0
36,0,0,0,0,0,1,0,1
37,0,0,0,0,0,1,1,0
38,0,0,1,1,0,1,1,0
39,0,0,1,1,0,1,0,1
40,1,0,1,1,0,1,1,0
41,0,0,1,1,0,0,1,0
42,0,0,0,0,0,1,0,0
43,0,1,1,1,1,0,0,1
44,0,0,1,0,0,1,0,1
45,0,0,0,0,0,1,1,0
46,0,0,0,1,0,1,0,0
47,0,0,1,0,0,1,0,1
48,0,0,0,1,0,1,0,0
49,0,0,1,1,0,1,1,0
50,0,1,0,1,1,1,1,0
51,0,0,0,0,0,1,1,0
52,1,1,1,1,0,0,0,1
53,0,0,1,1,0,0,1,1
54,1,1,0,0,1,0,0,0
55,0,1,0,0,0,0,1,1
56,0,0,1,0,0,0,1,1
57,0,0,0,0,0,1,0,0
58,0,0,1,1,1,0,1,1
59,0,1,0,1,1,1,1,0
60,0,0,0,0,0,1,0,0
61,1,1,1,0,0,0,0,1
62,1,1,0,1,0,0,1,0
63,0,0,0,1,1,1,1,0
64,0,0,0,0,0,0,0,0
65,0,0,0,1,1,1,0,1
66,0,0,1,0,0,0,1,1
67,0,0,0,0,0,1,1,0
68,0,0,1,1,1,1,1,1
69,0,0,0,1,0,1,1,0
70,1,0,0,0,0,0,1,0
71,0,1,1,1,1,1,1,0
72,0,1,0,0,0,0,1,0
73,0,0,0,1,0,1,0,0
74,1,1,0,0,0,1,1,1
75,0,0,0,0,0,1,1,0
76,0,0,0,0,0,1,1,0
77,0,0,0,0,0,1,1,0
78,0,0,0,0,1,0,1,1
79,1,0,1,0,0,1,1,1
80,0,0,0,0,0,1,1,0
81,0,0,0,0,0,1,1,1
82,0,0,1,0,0,1,0,1
83,0,1,0,0,0,0,1,0
84,0,0,1,0,0,0,1,1
85,1,0,1,1,0,1,1,1
86,0,1,0,1,1,1,1,0
87,0,0,0,0,0,1,1,0
88,0,1,1,1,1,0,1,1
89,0,0,0,0,0,1,1,0
90,0,0,0,0,0,1,1,0
91,0,0,0,0,0,1,1,0
92,1,1,0,1,0,0,1,0
93,0,0,0,1,1,1,1,0
94,1,0,0,0,0,1,1,0
95,0,0,0,0,0,1,1,0
96,1,1,0,0,0,0,0,0
97,0,1,0,0,1,0,0,1
98,1,0,1,0,1,0,1,1
99,1,0,0,1,0,0,1,0
100,0,0,1,0,0,1,1,0
101,0,0,0,0,0,1,1,0
102,0,1,0,0,1,0,1,0
103,1,0,0,0,0,1,1,0
104,1,0,0,1,0,1,1,0
105,0,0,0,0,0,1,1,0
106,0,0,1,0,0,1,1,1
107,0,0,0,0,0,1,1,1
108,1,0,0,0,0,1,1,0
109,0,0,1,1,0,1,0,1
110,1,1,0,0,0,0,1,0
