,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked
0,0,0,0,1,0,1,1
1,1,1,1,1,0,0,0
2,0,0,1,0,0,1,1
3,1,1,1,1,0,0,1
4,1,0,0,0,0,1,1
5,0,0,0,0,0,1,0
6,1,1,0,0,0,0,1
7,0,0,0,1,1,1,1
8,0,0,1,0,1,1,1
9,0,0,1,1,0,0,0
10,0,0,1,1,1,1,1
11,1,0,1,0,0,0,1
12,0,0,0,0,0,1,1
13,1,0,0,1,1,1,1
14,0,0,1,0,0,1,1
15,1,0,1,0,0,0,1
16,0,0,0,1,1,1,0
17,0,0,0,0,0,0,1
18,1,0,1,1,0,1,1
19,0,0,1,0,0,1,0
20,1,0,0,0,0,0,1
21,1,0,0,0,0,0,1
22,0,0,1,0,0,1,0
23,0,1,0,0,0,0,1
24,0,0,1,1,1,1,1
25,1,0,1,1,1,1,1
26,0,0,0,0,0,1,0
27,0,1,0,1,1,0,1
28,0,0,1,0,0,1,0
29,0,0,0,0,0,1,1
30,1,0,0,0,0,0,0
31,0,1,1,1,0,0,0
32,0,0,1,0,0,1,0
33,1,0,0,0,0,0,1
34,0,1,0,1,0,0,0
35,1,1,0,1,0,0,1
36,0,0,0,0,0,1,0
37,0,0,0,0,0,1,1
38,0,0,1,1,0,1,1
39,0,0,1,1,0,1,0
40,1,0,1,1,0,1,1
41,0,0,1,1,0,0,1
42,0,0,0,0,0,1,0
43,0,1,1,1,1,0,0
44,0,0,1,0,0,1,0
45,0,0,0,0,0,1,1
46,0,0,0,1,0,1,0
47,0,0,1,0,0,1,0
48,0,0,0,1,0,1,0
49,0,0,1,1,0,1,1
50,0,1,0,1,1,1,1
51,0,0,0,0,0,1,1
52,1,1,1,1,0,0,0
53,0,0,1,1,0,0,1
54,1,1,0,0,1,0,0
55,0,1,0,0,0,0,1
56,0,0,1,0,0,0,1
57,0,0,0,0,0,1,0
58,0,0,1,1,1,0,1
59,0,1,0,1,1,1,1
60,0,0,0,0,0,1,0
61,1,1,1,0,0,0,0
62,1,1,0,1,0,0,1
63,0,0,0,1,1,1,1
64,0,0,0,0,0,0,0
65,0,0,0,1,1,1,0
66,0,0,1,0,0,0,1
67,0,0,0,0,0,1,1
68,0,0,1,1,1,1,1
69,0,0,0,1,0,1,1
70,1,0,0,0,0,0,1
71,0,1,1,1,1,1,1
72,0,1,0,0,0,0,1
73,0,0,0,1,0,1,0
74,1,1,0,0,0,1,1
75,0,0,0,0,0,1,1
76,0,0,0,0,0,1,1
77,0,0,0,0,0,1,1
78,0,0,0,0,1,0,1
79,1,0,1,0,0,1,1
80,0,0,0,0,0,1,1
81,0,0,0,0,0,1,1
82,0,0,1,0,0,1,0
83,0,1,0,0,0,0,1
84,0,0,1,0,0,0,1
85,1,0,1,1,0,1,1
86,0,1,0,1,1,1,1
87,0,0,0,0,0,1,1
88,0,1,1,1,1,0,1
89,0,0,0,0,0,1,1
90,0,0,0,0,0,1,1
91,0,0,0,0,0,1,1
92,1,1,0,1,0,0,1
93,0,0,0,1,1,1,1
94,1,0,0,0,0,1,1
